style	pair_id	text1_id	text2_id	text1	text2	intercoder	comparison	intensity1	intensity1_num	intensity2	intensity2_num	comparison_label
Affect	05c0929cebf188730eec1d9c927d550a	d2ed8334934ee49dc9fb2d8f04f29f7e	3240fc883037f763bebe7e46351ab563	What have the families of British service personnel done to deserve being insulted by their own Government in that way?	I repeat the apology to the families of people who suffered appalling abuse and neglect.	FALSE	-1	NA	NA	NA	NA	text two more representative of <STYLE>
Affect	060fce4b47c24c9d4c3ed905cb39730e	48785e6eef24507434358928e52d8999	d6c54f1f0a2e9ecaf1eefc6f06185bda	Sometimes, people are so keen to avoid saying the wrong thing that they say nothing at all.	May we have a debate on capital investment in schools,  particularly considering that the current scheme is achieving better value for taxpayers than previous schemes and that capital is being used to provide the extra school places we need?	TRUE	1	NA	NA	NA	NA	text one more representative of <STYLE>
Affect	080f62010624835a08afc7680c080f49	9a9b02637f7bcb74aa3604afc61ee74a	cc6dad44df093e31207cfd6ac7e4f186	I am really trying to get the message to Openreach to sort that out.	I found interesting the accusations that the Opposition are suffering from selective amnesia with regard to international development and the efforts being made to give dignity and assistance to developing countries.	FALSE	1	2	2	1	1	text one more representative of <STYLE>
Affect	0dfc1e157bf2037d5a584a6432281678	3b2c6c24a6ae7e508383364484be45c3	640096008c47b6ddc9972d20ad76c093	Lambs are in the wrong places, pigs suffer overcrowding and much distress is caused.	Even though we had just acted to save our life or someone else's life, we were treated as though we had done something wrong.	FALSE	0	3	3	3	3	both similarly representative of <STYLE>
Affect	10941b3f36792c4007033aed45bd379f	c5b381a108ac79440b5f50100debeae8	c612f7cf25b23d46d22bfc87d1c50287	Will he join me in paying tribute to the work of the BBC external services, which probably do more than any other institution to promote knowledge and understanding, especially in countries suffering some form of internal difficulty?	Understandably, local people are most concerned and have made many representations to me.	FALSE	-1	1	1	3	3	text two more representative of <STYLE>
Affect	1367438cbba32a9a444d24dee935948b	e8b90d1275a94be76e0d2abf2abf8c20	1a8f51f677eb7f3a1937025dda30e3a2	Let us praise the positive, but let us learn the lessons when things go wrong.	This is also a British problem in a rather more profound and structured sense.	FALSE	1	3	3	3	3	text one more representative of <STYLE>
Affect	174efa0826c1f4e3ec67582ac85a0ec3	6b65e9bf6b013a478f60b62a4257d9da	57b89a85d24616a8a8e90fd3cbdfdc02	That arrangement does not include loss of earnings, and we are not going back to try to revalue it.	However, their behaviour was a source of terror, fear and humiliation for the family.	FALSE	-1	2	2	5	5	text two more representative of <STYLE>
Affect	181745f662373c93aa4e60097c9570a3	68455eb8a94c91f01beb15e17f39c057	b5e616c906a8b2dadfd07492dae15e27	Their anger is the anger of pain, the anger of discrimination, and the anger of lack of understanding, as well as the anger of frustration.	Despite record high employment, far too many young people leave school without qualifications and do not go into training or a job.	FALSE	1	4	4	2	2	text one more representative of <STYLE>
Affect	184c34d441694747b80040c01850b4d8	e0cfde06ac6fdeda35e1e36a1d0e899f	1a0ed2ef6d291db0a323b8eba8bc58b8	It is pretty understandable that someone who has had that horrendous experience takes that view.	I am convinced that the best way of sustaining that improvement is by increased competition.	TRUE	1	NA	NA	1	1	text one more representative of <STYLE>
Affect	186941e2e6739a3331f48324ec097517	e4b4704fc1431f554bf9b2644f7e1a08	92549e15e717f3be42a6ca4de7a25e72	That frustration is causing enormous damage to public confidence as well as to police morale.	The House can rest assured that all appropriate action to that end will be taken.	FALSE	1	2	2	1	1	text one more representative of <STYLE>
Affect	1abb23a45fd1a955507b85387d5d9dd7	90d087f792d0f5fe740a9dafff7d5d82	b2144abb67e7f8cf7fba966cd916607d	I accept that the Opposition are acting in the right spirit of trying to get things right, but I hope that I can convince them that in this instance they are not right, for the following reasons.	I was there in the afternoon later on, and I know that he enjoyed himself.	FALSE	1	2	2	1	1	text one more representative of <STYLE>
Affect	1ee3d2e6aa97ac77dd230e48fc88a6b0	e4ef66a8d63ef9761aa26187cd3c7aba	7381f089ff7255080d9cf2d82f5ec6e2	I am trying to get the Government to admit there is something seriously wrong.	I want to talk a little about the wider shame of what I heard the Conservative spokesman say.	FALSE	0	3	3	3	3	both similarly representative of <STYLE>
Affect	25ba653308a39affb0c152cc64d7685d	6088808bc67edcf584793777b3821e66	0a9682395e9289ae2a13e47a40640f34	I can well understand why, when someone causes a death by careless driving and a fine of this kind is imposed, real despair and anger is felt among the families concerned.	These contractual failings have caused real human suffering, and the Government need to address them urgently.	FALSE	1	5	5	4	4	text one more representative of <STYLE>
Affect	2ab36ec7ccb28240977208f0de307ba1	746d5603fd4619964fbb20837a5ed3a8	ff59002168113ec88ab46582c72e6e51	In our report to the Government in response to the guidance, we included a letter that we wrote to the Prime Minister on  17 March  last year.	They mean more jobs, and more jobs mean a better life for millions of people, which I am sure all of us in this House would like to see.	FALSE	-1	1	1	3	3	text two more representative of <STYLE>
Affect	2ee4c8ef9fa1d7f266fbcbd008123bb5	128840204cab9f213b6069252d96ce62	7fba598d0e3b7bdbebdb6711090fb249	They are not getting any money at all, but I am raising this issue with the Minister because the problem in Wales - this is what the Welsh Minister is saying to all those farmers - is that the information is not available to the Welsh Government.	I hope that I made it clear that I feel profoundly disappointed and let down.	TRUE	-1	1	1	4	4	text two more representative of <STYLE>
